Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas8586               Pavarde8586                       4        10         8         5         7         3         3         5
Vardas8587               Pavarde8587                       6         4         3         7        10         4         2         7
Vardas8588               Pavarde8588                       2         2         1         6         1         1         1         3
Vardas8589               Pavarde8589                       4         7         7         6         7         7         6         3
Vardas8590               Pavarde8590                       5         2        10         3         4         5         6         6
Vardas8591               Pavarde8591                       3        10         1         7         4         8         8         5
Vardas8592               Pavarde8592                       7        10        10         9         6         7         3         5
Vardas8593               Pavarde8593                       7         7         5         8         6        10         9         6
Vardas8594               Pavarde8594                       1        10         2         2         9         5         3         1
Vardas8595               Pavarde8595                       2         2         2         4         7        10         8         9
Vardas8596               Pavarde8596                       1         8         8        10         8         7         7         3
Vardas8597               Pavarde8597                       9         2         6         8         9         7         6         3
Vardas8598               Pavarde8598                       5         4        10         6         2         5         6         7
Vardas8599               Pavarde8599                       9         9         1         7         1         7        10         6
Vardas8600               Pavarde8600                       7         7         1         7         5         4         1         5
Vardas8601               Pavarde8601                      10         7        10         4         4        10         9         5
Vardas8602               Pavarde8602                       7         9         9         8        10         6        10         7
Vardas8603               Pavarde8603                       4         6         5         7         6         3         3         5
Vardas8604               Pavarde8604                       1         2        10         4         5         4         3        10
Vardas8605               Pavarde8605                       8         2         7         4         3         2         1         6
Vardas8606               Pavarde8606                       6         7         3         9         8         6         6         6
Vardas8607               Pavarde8607                       1         8         5         5         1         3         2         8
Vardas8608               Pavarde8608                       2         2         1        10        10         4         3         6
Vardas8609               Pavarde8609                       2         5         6         7         9        10         2         1
Vardas8610               Pavarde8610                       5         8         5         7         8         9         4        10
Vardas8611               Pavarde8611                       6        10         4         6         7         2         8         5
Vardas8612               Pavarde8612                       1         7         7         3        10         3         2        10
Vardas8613               Pavarde8613                       2         2         1         6         1         7         1         2
Vardas8614               Pavarde8614                      10         9         8         4         4         3         5        10
Vardas8615               Pavarde8615                       7         1        10         6         3         6         7         3
Vardas8616               Pavarde8616                       4         7         3         6         1         8        10         4
Vardas8617               Pavarde8617                       9         8         5         5         8         6         8         7
Vardas8618               Pavarde8618                       5         8         8         4         1         3         1         5
Vardas8619               Pavarde8619                       1         2         2        10         6         8         1         7
Vardas8620               Pavarde8620                      10         7         5         5         7         7         8         3
Vardas8621               Pavarde8621                       7         5         9         1         8         9         3         9
Vardas8622               Pavarde8622                       8         1         7         7         2         6         4         1
Vardas8623               Pavarde8623                       8         4         5         5         7         5        10         2
Vardas8624               Pavarde8624                      10         9         2         9         4         3         4         9
Vardas8625               Pavarde8625                       8         7         1         5         1         4         5         6
Vardas8626               Pavarde8626                       1         1         7         5         9         9         2        10
Vardas8627               Pavarde8627                       8         7         7         9         3         5        10         1
Vardas8628               Pavarde8628                       8         1         7         4         4         3         9         6
Vardas8629               Pavarde8629                       6         5         3         9         6         2         7         1
Vardas8630               Pavarde8630                       8         8         8         7         6         1         7         9
Vardas8631               Pavarde8631                       2         9         6        10        10         4         6         6
Vardas8632               Pavarde8632                       4         5         5         9         9         5         1         9
Vardas8633               Pavarde8633                      10         4         1         2         8         1         5         3
Vardas8634               Pavarde8634                       1         1         2         6         2        10         7         1
Vardas8635               Pavarde8635                       5         4         5         4         7         4        10         9
Vardas8636               Pavarde8636                       1         1         8         8        10         7         9         8
Vardas8637               Pavarde8637                      10         6         3         2         6         2         2         8
Vardas8638               Pavarde8638                       9         4         7         8         7         2         5         3
Vardas8639               Pavarde8639                       1         5         6         7         4         3         7         7
Vardas8640               Pavarde8640                       6         9         4        10         7         6         4         6
Vardas8641               Pavarde8641                       2         6         8         6         1         9         9         3
Vardas8642               Pavarde8642                       5         4         1         7         9         2         1         1
Vardas8643               Pavarde8643                       1         6         4         5         8         3         7         7
Vardas8644               Pavarde8644                       5         3        10         2        10         2         6         9
Vardas8645               Pavarde8645                       5         6        10         6         5         5         9         5
Vardas8646               Pavarde8646                       3         3         3         9         3         8         7         1
Vardas8647               Pavarde8647                       9         6         6         4         1        10         4         7
Vardas8648               Pavarde8648                      10         2        10         7         9         5         8         4
Vardas8649               Pavarde8649                       3         6         3         7        10         3         1         2
Vardas8650               Pavarde8650                       4         3         2         9        10         7         3         4
Vardas8651               Pavarde8651                       6         8        10         1         7         3         1         9
Vardas8652               Pavarde8652                       1         5         6         4         2         4         3         1
Vardas8653               Pavarde8653                       7         5         4         1         6         7         6         8
Vardas8654               Pavarde8654                       6         9         7         4         7         2         4         7
Vardas8655               Pavarde8655                       3         3         4         7         7         2         6         9
Vardas8656               Pavarde8656                       4         1         1        10         4         7         3         4
Vardas8657               Pavarde8657                       3         1         7         2         9         6         7         4
Vardas8658               Pavarde8658                      10         7         7        10         9         4        10         6
Vardas8659               Pavarde8659                       1         1         2         9         5         6        10         4
Vardas8660               Pavarde8660                       8         6         7         7         9         6         4         3
Vardas8661               Pavarde8661                       4         1         6         3         4         6         6         6
Vardas8662               Pavarde8662                       3         5         1         2         2         7         7         3
Vardas8663               Pavarde8663                       7         3         4         4         4         2         2         7
Vardas8664               Pavarde8664                       4        10         6         3         8         8         8         6
Vardas8665               Pavarde8665                       9         1         1         3         8         5         6         3
Vardas8666               Pavarde8666                       2         4         8         4         6         7         5         6
Vardas8667               Pavarde8667                       5         8         2        10         7         9         5         9
Vardas8668               Pavarde8668                       2         7         3         4         2        10         7         2
Vardas8669               Pavarde8669                       8         9         3         5         6         9         1         1
Vardas8670               Pavarde8670                       2         8         4         4        10         4         8         4
Vardas8671               Pavarde8671                      10         1         6         9         9         5         6         5
Vardas8672               Pavarde8672                       9         6        10         4         3         9         1         8
Vardas8673               Pavarde8673                       9         1         4         4         9         6         9         5
Vardas8674               Pavarde8674                       9         8         8         6         3         9         6         1
Vardas8675               Pavarde8675                      10         6         3         9        10        10         3         7
Vardas8676               Pavarde8676                       5         3         3         7         2         6         2         5
Vardas8677               Pavarde8677                       1         2         6         7         2         1         7         2
Vardas8678               Pavarde8678                      10         7         5         9         8         1         1         7
Vardas8679               Pavarde8679                       5         7         5         3         7         5         8         8
Vardas8680               Pavarde8680                       7        10         5         3         7         6         6         1
Vardas8681               Pavarde8681                       3         7         4        10         6         8         6         2
Vardas8682               Pavarde8682                       3         3         1         9         6         9        10         6
Vardas8683               Pavarde8683                       8         5         7         3         3         4         3        10
Vardas8684               Pavarde8684                       1         3         2         5         6         1         8         1
Vardas8685               Pavarde8685                       1         9         7         6         1         1         7         9
Vardas8686               Pavarde8686                       3         2         2         3         4         6        10         6
Vardas8687               Pavarde8687                       2         2         4         6         3         7         2         6
Vardas8688               Pavarde8688                       7         8         3         4         4        10         7         1
Vardas8689               Pavarde8689                       3         1         7         9         5         8         3         2
Vardas8690               Pavarde8690                       8        10         3         5         7         8         3         4
Vardas8691               Pavarde8691                      10         9         5         1         9        10         9         6
Vardas8692               Pavarde8692                       7         2         6         2         8         5         1         1
Vardas8693               Pavarde8693                       4         5         4         6         8         1         8         5
Vardas8694               Pavarde8694                       7         9         7         7         6         5         4         1
Vardas8695               Pavarde8695                       5         7         4         6         8         1         9         2
Vardas8696               Pavarde8696                       7         4         3         7         5         4         5         8
Vardas8697               Pavarde8697                       6         9         5         9         2         5         9         1
Vardas8698               Pavarde8698                       4         7         1        10         1         8         4         1
Vardas8699               Pavarde8699                       5         1         1         9         2         2         3        10
Vardas8700               Pavarde8700                       8         2         4         2         4         8         9         8
Vardas8701               Pavarde8701                       8         6         5         2         3         7         1         2
Vardas8702               Pavarde8702                       3         6         5         8         5         3         1         6
Vardas8703               Pavarde8703                       3        10         7         8         6         6         2         9
Vardas8704               Pavarde8704                       5         8        10         8         5         7         5        10
Vardas8705               Pavarde8705                       8         6         8         3         5         1         2        10
Vardas8706               Pavarde8706                       6         2        10         2         7         4         1         6
Vardas8707               Pavarde8707                       4         7         2         7         1         4         2         6
Vardas8708               Pavarde8708                       1         4         7         7        10         7         7         5
Vardas8709               Pavarde8709                       5         9         6        10         1         3         3         9
Vardas8710               Pavarde8710                       8        10         8         5        10         7         6        10
Vardas8711               Pavarde8711                      10         4         6         4         3         5         1         1
Vardas8712               Pavarde8712                       1         8         8         1        10         1        10         3
Vardas8713               Pavarde8713                       5         3         6         8         2         6         5         8
Vardas8714               Pavarde8714                       2        10         6         2         1         1         6         1
Vardas8715               Pavarde8715                      10         7         8         3         9         6         6         3
Vardas8716               Pavarde8716                       4         5         1         4         5         9         9         1
Vardas8717               Pavarde8717                      10         6         8        10         4         2         5         9
Vardas8718               Pavarde8718                      10         8         9         6         2         3         2         1
Vardas8719               Pavarde8719                       3         3         1         1         8        10         3         9
Vardas8720               Pavarde8720                      10         8         7         8         5         4         9         9
Vardas8721               Pavarde8721                       8         1         9         5         5         1         3         1
Vardas8722               Pavarde8722                       1         5         1        10         1         4         9         7
Vardas8723               Pavarde8723                       6         9         5        10         8         1         5         1
Vardas8724               Pavarde8724                       3         6        10         6         9         2         4         8
Vardas8725               Pavarde8725                       3        10         9         6         5         6         4         9
Vardas8726               Pavarde8726                       1         1         5         3         2         3         1         3
Vardas8727               Pavarde8727                       9         7         3         4         8         7         5         2
Vardas8728               Pavarde8728                       8         4         5         5        10         6         9         6
Vardas8729               Pavarde8729                       9         5        10         5         9         7         6         3
Vardas8730               Pavarde8730                       6         4         8         1         7         6         4         5
Vardas8731               Pavarde8731                       1         3         6         1         6         7         4         1
Vardas8732               Pavarde8732                       4         3         2         4         5         9         4         3
Vardas8733               Pavarde8733                       2         3         1         6        10         9         5         8
Vardas8734               Pavarde8734                       9         5         1         5         4         1         7         4
Vardas8735               Pavarde8735                       2         3         6         9         3        10         5         3
Vardas8736               Pavarde8736                       6         3         3        10         2         6         9         4
Vardas8737               Pavarde8737                       6         9         3         3         8         3         5         8
Vardas8738               Pavarde8738                       3         3         7         4         3         1         9         8
Vardas8739               Pavarde8739                       4         6         2         5         8         3         4         6
Vardas8740               Pavarde8740                       3         5         9         6         6         4         2         5
Vardas8741               Pavarde8741                       9         5         7         5         9         2         7         4
Vardas8742               Pavarde8742                      10         6         6         1         9         4         8         5
Vardas8743               Pavarde8743                       3         3         5         4         4         7         2         6
Vardas8744               Pavarde8744                       1        10         9         2         8         5        10         9
Vardas8745               Pavarde8745                       3         8         1         8         9         8         4         6
Vardas8746               Pavarde8746                       7         1         2         6         7        10         4         1
Vardas8747               Pavarde8747                       3         5         5         4         4         7         1         9
Vardas8748               Pavarde8748                       2        10         2         4         4         6         1         3
Vardas8749               Pavarde8749                       9         7         2         1         5         6         4         8
Vardas8750               Pavarde8750                       1         1         4         1         8         7         7         2
Vardas8751               Pavarde8751                      10         5         1         9         2        10         5         6
Vardas8752               Pavarde8752                       8         8         6         9        10         8         6         7
Vardas8753               Pavarde8753                       2         2         7         2         2         3         9         4
Vardas8754               Pavarde8754                       3         2         7         4         2         5         9         9
Vardas8755               Pavarde8755                      10         6         6        10         1         6         4         4
Vardas8756               Pavarde8756                       2         3        10         4         1         8         3         4
Vardas8757               Pavarde8757                       1         5        10         2         4         2         3         1
Vardas8758               Pavarde8758                       6         3         3         5         3         7         7         8
Vardas8759               Pavarde8759                       4         2         9         7         4         9         8         5
Vardas8760               Pavarde8760                       3         4         2         5         2         4         4         5
Vardas8761               Pavarde8761                       2        10         6         9         4         5         5         8
Vardas8762               Pavarde8762                       5         4         6         5        10         3         5         4
Vardas8763               Pavarde8763                       1         1         4         3         9         9         4         9
Vardas8764               Pavarde8764                       6         1         1         8         9         9         7         7
Vardas8765               Pavarde8765                       7         9         8        10        10         7         5         6
Vardas8766               Pavarde8766                       5         6         5         8         6         2         8         6
Vardas8767               Pavarde8767                       7         6         2        10         3        10         6         6
Vardas8768               Pavarde8768                      10        10         5        10         9         4         9         5
Vardas8769               Pavarde8769                       3         4         1         4         4         4         8         6
Vardas8770               Pavarde8770                       8         8        10         7         5         6         7         8
Vardas8771               Pavarde8771                       5         7         8         6         3         3         6         1
Vardas8772               Pavarde8772                       4        10         7         7         3        10        10         1
Vardas8773               Pavarde8773                       1         4         6         3         9         6         8         8
Vardas8774               Pavarde8774                       1         9         4         4         5         1         8         2
Vardas8775               Pavarde8775                       3        10         6         1         5         7         1         3
Vardas8776               Pavarde8776                       7         2        10         6         3         1         6         2
Vardas8777               Pavarde8777                       6        10         7         7        10         1         8         7
Vardas8778               Pavarde8778                       4         8         5         5         3        10         1         2
Vardas8779               Pavarde8779                       1         6         3         9         9         2        10         5
Vardas8780               Pavarde8780                       3         6         9         5         6        10         9         5
Vardas8781               Pavarde8781                       7         7         4         2         2         4         6         3
Vardas8782               Pavarde8782                       8         6        10         3         9         9         7        10
Vardas8783               Pavarde8783                       9         2         6         2         4         8         6        10
Vardas8784               Pavarde8784                       9        10         2         8         1         7         8         2
Vardas8785               Pavarde8785                       9         7         9         4         9         5         6         7
Vardas8786               Pavarde8786                       3         1         1        10         7         4         3         5
Vardas8787               Pavarde8787                       9         9         9         2         8         4         9         3
Vardas8788               Pavarde8788                       5         7         4         5         1         9         9         1
Vardas8789               Pavarde8789                       3         6         3         4         8         4        10         3
Vardas8790               Pavarde8790                       9        10         7        10         8         4         9         5
Vardas8791               Pavarde8791                       4         1         2         1         7         4         3         9
Vardas8792               Pavarde8792                       9         7         9         6         6         8        10         1
Vardas8793               Pavarde8793                       4         7         5         3         5        10         2         8
Vardas8794               Pavarde8794                       4         4         3        10        10         8         1         6
Vardas8795               Pavarde8795                       5         4         8         2         9         5         9         9
Vardas8796               Pavarde8796                       5         7         1         7         9         4         9         6
Vardas8797               Pavarde8797                       7         8         5         2         6         5         1         5
Vardas8798               Pavarde8798                      10         1         6         9        10         2         3         1
Vardas8799               Pavarde8799                       9         3         1        10         1         6         6         5
Vardas8800               Pavarde8800                       3         5         5         2         1         4         2         4
Vardas8801               Pavarde8801                       5         5         6         8         1         7         5         9
Vardas8802               Pavarde8802                       2         9         1         5         5         8         8         5
Vardas8803               Pavarde8803                       6         1         3         6         4         1         3         1
Vardas8804               Pavarde8804                       3         4         7         5         7         5         9         6
Vardas8805               Pavarde8805                       9         4         9         1         8         7         5        10
Vardas8806               Pavarde8806                       7         5         8         8         9         3         3        10
Vardas8807               Pavarde8807                       4         2         6         7         7         8         8         6
Vardas8808               Pavarde8808                       5         6         8         9         1         3         8         9
Vardas8809               Pavarde8809                       7         9         5         3         5        10         3         6
Vardas8810               Pavarde8810                       1         4         2         1         6         7         4         3
Vardas8811               Pavarde8811                       9         7        10        10         9         9         4         5
Vardas8812               Pavarde8812                       9         6         7         3         1         6         7         7
Vardas8813               Pavarde8813                       7         3         6         7         6         5         2         5
Vardas8814               Pavarde8814                       6         3         4         8         4        10         2         1
Vardas8815               Pavarde8815                       2         9         5         5         2        10         9         6
Vardas8816               Pavarde8816                       5         1         2         4         1         3         5         1
Vardas8817               Pavarde8817                       5         1         4         7         8         9         7         9
Vardas8818               Pavarde8818                       4         7         2         1         8        10         9         8
Vardas8819               Pavarde8819                       1         8         3         8         7         2         4         2
Vardas8820               Pavarde8820                       1         8         3        10         2         4         5         7
Vardas8821               Pavarde8821                       5         5         3         6         6         5         9         6
Vardas8822               Pavarde8822                       4         6         1         3         1         6         8         2
Vardas8823               Pavarde8823                       1         9         4         2         9         2         9         1
Vardas8824               Pavarde8824                       9         7         1        10         1         7         5         7
Vardas8825               Pavarde8825                      10        10         5         2         6         1         1         2
Vardas8826               Pavarde8826                       9        10         9         5         7        10        10         8
Vardas8827               Pavarde8827                      10         2         1        10        10         8         3         3
Vardas8828               Pavarde8828                       9         3         1        10         2         5         6         2
Vardas8829               Pavarde8829                       3         6         6         7         4         7         9         9
Vardas8830               Pavarde8830                       4         2         7         4         7         5         4        10
Vardas8831               Pavarde8831                       1         1         1         4         8         4        10         1
Vardas8832               Pavarde8832                       8        10         9         2         6         3         8         4
Vardas8833               Pavarde8833                       6         2         6         6         4         6         1         5
Vardas8834               Pavarde8834                       4         6         2        10         1         8         8         7
Vardas8835               Pavarde8835                       9         1         9         5         8         6         9         4
Vardas8836               Pavarde8836                       3         2         8         2        10         6        10         9
Vardas8837               Pavarde8837                       4         5         9         9         2         7         2         5
Vardas8838               Pavarde8838                       3         8         4         3         2         7        10         1
Vardas8839               Pavarde8839                       1         8         7         8         9         5         7         5
Vardas8840               Pavarde8840                       7         1        10         8         1        10         9         3
Vardas8841               Pavarde8841                       1         4         9         2         9         2        10         1
Vardas8842               Pavarde8842                      10         7        10         8         3         5         8         8
Vardas8843               Pavarde8843                       5         7         4         3         7        10         1         4
Vardas8844               Pavarde8844                       4         7         8         9         5        10         5         2
Vardas8845               Pavarde8845                       3         8         1         2         8         6         2         4
Vardas8846               Pavarde8846                      10         7         7         9         2         9         9         6
Vardas8847               Pavarde8847                       3        10        10         2         8         9         6         7
Vardas8848               Pavarde8848                       2         4         4         3         4         7         8         5
Vardas8849               Pavarde8849                       4         7         9         5         9         1         8         2
Vardas8850               Pavarde8850                       2         1         7         9         1         9         4        10
Vardas8851               Pavarde8851                       6         1         4         7        10         4         4         5
Vardas8852               Pavarde8852                       9         8         1         6         2        10         3         1
Vardas8853               Pavarde8853                       9         9         4         4         4         3         1        10
Vardas8854               Pavarde8854                       9        10         4         7         6         6         8         5
Vardas8855               Pavarde8855                      10         7         6         4        10         4         4         1
Vardas8856               Pavarde8856                       3         5         1         5         4         1         8         2
Vardas8857               Pavarde8857                       7         6        10         1         7         6         5         7
Vardas8858               Pavarde8858                       7         8         6         2        10         3         5         9
Vardas8859               Pavarde8859                       6         6         6         5         1        10         1        10
Vardas8860               Pavarde8860                       9         8         4         1         7         9         6         2
Vardas8861               Pavarde8861                       7         7         5         6         3         7         9         6
Vardas8862               Pavarde8862                       7         6         6         9        10         3         1         9
Vardas8863               Pavarde8863                      10        10         6         1         4         5         8        10
Vardas8864               Pavarde8864                       5         8         3        10        10         1         1        10
Vardas8865               Pavarde8865                       8         8         1         5         1         3         3         1
Vardas8866               Pavarde8866                       8         2         4         2         9         2         5         4
Vardas8867               Pavarde8867                       9         9         9         7         4         7         2         8
Vardas8868               Pavarde8868                       2         1         7        10         9         9         9         1
Vardas8869               Pavarde8869                      10        10         6         1         8         2         8         3
Vardas8870               Pavarde8870                       5         7         4        10        10         9         8         5
Vardas8871               Pavarde8871                       1         4         4        10         6         4         4         9
Vardas8872               Pavarde8872                       4         7        10         5         8         9         6         3
Vardas8873               Pavarde8873                       3         8         5        10         3         9        10         7
Vardas8874               Pavarde8874                       1         7         1        10         8         2         2         9
Vardas8875               Pavarde8875                       6         9         1         2         1         7         3         4
Vardas8876               Pavarde8876                       5         9         8         1         4         2         9         8
Vardas8877               Pavarde8877                       2         4         4         3        10        10         6         5
Vardas8878               Pavarde8878                       4         8         6         9         3         8         7        10
Vardas8879               Pavarde8879                       5         4         4        10         6         5         8         6
Vardas8880               Pavarde8880                      10         9         6         8         5         7         9         9
Vardas8881               Pavarde8881                       3         5         6         1         9         3         4         9
Vardas8882               Pavarde8882                       6         8         2         3         3        10         1         8
Vardas8883               Pavarde8883                       8        10         6         9        10         2         1         4
Vardas8884               Pavarde8884                       2        10         9        10        10         3         9         1
Vardas8885               Pavarde8885                       4        10         8         7         9         6         6         6
Vardas8886               Pavarde8886                       1         8        10         4         3         6         7         5
Vardas8887               Pavarde8887                       9         6         1         8        10         1         2         3
Vardas8888               Pavarde8888                       3         2         7         1        10        10         5         6
Vardas8889               Pavarde8889                       9         9         8         5         6         8        10         7
Vardas8890               Pavarde8890                       1         7         3         6         8         5         1         9
Vardas8891               Pavarde8891                       3         3         1         7         6         9         7        10
Vardas8892               Pavarde8892                       1        10         3         1         8         8         1         8
Vardas8893               Pavarde8893                      10         8         4         1         2         9         7         8
Vardas8894               Pavarde8894                       9         9         1         9         6         5         9         9
Vardas8895               Pavarde8895                       6         1         2         6         9         3         7         7
Vardas8896               Pavarde8896                       1         1         7        10         9         5         2         8
Vardas8897               Pavarde8897                       9         5         1        10         2         2         3         3
Vardas8898               Pavarde8898                       8         8         8        10         8         1         5         9
Vardas8899               Pavarde8899                       3         4         9         8         8         5         3         8
Vardas8900               Pavarde8900                       5         5         3         1         8         8         2         8
Vardas8901               Pavarde8901                       1         5         1         3         4         7         1         9
Vardas8902               Pavarde8902                       7         7         9         8         7         8         9         6
Vardas8903               Pavarde8903                       9         8        10         4         2         7         2        10
Vardas8904               Pavarde8904                       9         8         4         6         8         7         1         4
Vardas8905               Pavarde8905                      10         3         3         9        10         1         9        10
Vardas8906               Pavarde8906                       8         4         4         7         1         7         2         4
Vardas8907               Pavarde8907                       5         8         7         8         7         9         2         4
Vardas8908               Pavarde8908                       2         3         3         8         7         4         5         5
Vardas8909               Pavarde8909                       7         7         6         7         6         4         9         1
Vardas8910               Pavarde8910                       8         8         6         3         1         2         7         3
Vardas8911               Pavarde8911                       2         2         6         8         1         2         1         4
Vardas8912               Pavarde8912                       1         3         8         1         6         1         6         8
Vardas8913               Pavarde8913                       5         5         6         1         9         7         8        10
Vardas8914               Pavarde8914                       5         5        10        10         8         2         7         1
Vardas8915               Pavarde8915                       4         1        10         8         2         4         9         8
Vardas8916               Pavarde8916                       4         8         9         2         7         1         2         3
Vardas8917               Pavarde8917                       7         4         8         4         9         2         7         4
Vardas8918               Pavarde8918                       8         2         6         2         3         8         9         5
Vardas8919               Pavarde8919                       2         3         9         1         7         3         2         1
Vardas8920               Pavarde8920                       6        10         2         3        10         7         8         2
Vardas8921               Pavarde8921                       3         1         5         1         3         2         1         2
Vardas8922               Pavarde8922                       7         1         6         2        10         5         4         6
Vardas8923               Pavarde8923                       9        10        10         3         3         2         9        10
Vardas8924               Pavarde8924                       1        10         4         8         9         1         7         9
Vardas8925               Pavarde8925                       9         1         8         6         9         2         3         9
Vardas8926               Pavarde8926                       1         8         4        10         1         9        10         9
Vardas8927               Pavarde8927                       1         1        10         3        10         9         1         7
Vardas8928               Pavarde8928                       6         5         1         4         8         8         6         1
Vardas8929               Pavarde8929                       5         7         8         7        10         7         5         8
